"Area","hh_size","Total","Under15","`15-18`","`18-65`","Above65","Above18","se.Counter","se.Under15","se.`15-18`","se.`18-65`","se.Above65","se.Above18"
"0",4,257080,194960,61320,256600,16400,257080,1448.30774744634,1294.88137374959,765.681086923525,1447.21993347524,402.526085641183,1448.30774744634
"11",4,93240,70600,23400,93200,4840,93240,851.357597247685,765.895053254921,469.591327960904,851.22782201636,218.672578404794,851.357597247685
"33",4,395680,294080,85080,395560,22800,395680,1758.683130172,1567.35204216095,898.414917487264,1758.47337060834,474.330280647527,1758.683130172
"35",4,51480,38800,13240,51320,2880,51480,636.529323338318,570.613062901015,353.678625484676,635.805244262362,168.665095445451,636.529323338318
"53",4,166000,127200,38160,165880,9560,166000,1141.99918105521,1030.81617600595,601.838156167828,1141.69995889955,307.121986163029,1141.99918105521
"61",4,158960,118720,37000,158840,8840,158960,1107.92161970921,992.136747354271,591.59486180787,1107.63891443389,295.377661821871,1107.92161970921
"63",4,94720,72800,21800,94640,5560,94720,865.824770488265,781.838241000304,454.989218637917,865.529444239564,234.328170878001,865.824770488265
"67",4,51720,38800,12520,51640,3240,51720,638.964898119843,571.725353387154,344.353759738357,638.604639445451,178.719559922134,638.964898119843
"73",4,40600,29160,8760,40560,2120,40600,567.647943615098,498.385864905068,289.315400463645,567.440924131676,144.819195059832,567.647943615098
"77",4,45840,35440,10160,45720,3360,45840,609.331747370815,549.823585727799,311.9745488355,608.717908346443,181.917004828741,609.331747370815
"0",5,165050,145900,51050,164950,12250,165050,1204.73289471915,1141.50823449094,700.868773003993,1204.41642191558,348.439693296974,1204.73289471915
"11",5,55800,48350,15600,55700,4700,55800,695.213570797813,653.860046504159,387.261523829272,694.668495775061,215.468958074381,695.213570797813
"33",5,192450,159350,52050,192350,21000,192450,1309.22319058844,1202.93474010844,709.471427389907,1308.92550965858,455.391761670762,1309.22319058844
"35",5,25550,22050,8650,25500,2050,25550,478.090414560098,447.684422485824,288.8220775555,477.679941697756,142.569063511922,478.090414560098
"53",5,98450,82800,28600,98450,8600,98450,926.289719741749,859.380730061807,524.653393680608,926.289719741749,291.617574108407,926.289719741749
"61",5,88250,75550,26600,88250,7600,88250,878.467307806357,821.063592871134,505.874530072187,878.467307806357,274.187107796583,878.467307806357
"63",5,50450,44600,13700,50400,2600,50450,669.739059661193,634.210110439713,364.516154206433,669.444481763086,160.736998934594,669.739059661193
"67",5,26200,23250,7350,26200,2100,26200,483.883431831753,458.876842243195,267.02639558817,483.883431831753,144.286356181472,483.883431831753
"73",5,20850,16050,6200,20850,1900,20850,431.753326424443,383.943501671026,245.048987247945,431.753326424443,137.176699928323,431.753326424443
"77",5,38650,34400,11800,38650,3150,38650,569.384687484475,542.805878273464,334.85231185614,569.384687484475,176.283827702837,569.384687484475
"0",6,93480,86520,34980,93420,9000,93480,932.461192633857,899.450541459385,583.399495622347,932.191149194377,298.979894571147,932.461192633857
"11",6,27540,25320,9180,27480,3840,27540,507.006069022813,487.63338805738,299.589336446864,506.475313262951,195.045639672331,507.006069022813
"33",6,93960,79320,30060,93720,16860,93960,941.554283874337,868.348451282132,542.986677583251,940.36359958794,408.417399890691,941.554283874337
